"","class","order","family","genus","species","subspecies","common_name","adult_body_mass_g","C_E","I_m","E_alpha","log_bodymass","log_C_E","log_I_m","log_E_alpha","scale_log_bodymass","scale_log_C_E","scale_log_I_m","scale_log_E_alpha"
"52","Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos",NA,"Golden Eagle",4383,51.3693817020306,0.802646589094228,8,8.38548870041881,3.93904230823837,-0.219840775121306,2.07944154167984,0.775884757551697,1.26636798365121,0.822468612311816,-0.194175865358017
"94","Aves","Accipitriformes","Accipitridae","Buteo","solitarius",NA,"Hawaiian Hawk",505,8.40153465346535,0.988415841584158,5.66290432612123,6.22455842927536,2.12841438600335,-0.0116517774929256,1.73393689243152,0.0930394660862479,-0.184068017517438,0.969288453734736,-0.594346051903777
"276","Aves","Anseriformes","Anatidae","Anas","discors",NA,"Blue-winged Teal",398.5,171.516938519448,0.769134253450439,26.9757468498744,5.98770749823027,5.14468202860612,-0.262489742854004,3.29493819750326,0.0181955226221362,2.2321673250762,0.792391544115623,1.21363593852025
"303","Aves","Anseriformes","Anatidae","Anas","strepera",NA,"Gadwall",850,142.525705882353,0.681941176470588,31.7854166666667,6.74523634948436,4.95952237559686,-0.382811876367952,3.45900758921127,0.257571598812866,2.08384186108081,0.70753750877549,1.40366429046597
"318","Aves","Anseriformes","Anatidae","Aythya","affinis",NA,"Lesser Scaup",788.5,108.975320793453,0.597641090678503,14.6903288161309,6.67013240640309,4.69112144185449,-0.514764888025175,2.68718937360654,0.233839054274815,1.86883447482186,0.614481101052293,0.509729462121666
"329","Aves","Anseriformes","Anatidae","Aythya","valisineria",NA,"Canvasback",1218.666667,164.235623587463,0.814660831287018,27.0967143245375,7.10551264417945,5.10130212590816,-0.204983410289056,3.29941247789818,0.371417461747159,2.1974170752719,0.832946379981974,1.21881813686169
"589","Aves","Apodiformes","Trochilidae","Archilochus","colubris",NA,"Ruby-throated Hummingbird",3.1425,62.5059665871122,1.54335719968178,9.01892739282988,1.14501866148227,4.13526201757962,0.433960043467126,2.19932541268325,-1.51207471069543,1.42355330431946,1.28354452698947,-0.0553240405630766
"940","Aves","Caprimulgiformes","Caprimulgidae","Antrostomus","vociferus",NA,"Eastern Whip-poor-will",53.7,15.731843575419,0.983240223463687,3.99726214921287,3.98341300151482,2.75568691143718,-0.0169018108026034,1.38560966407157,-0.615153492877589,0.318419899663324,0.965586005157853,-0.997785404326452
"1042","Aves","Charadriiformes","Alcidae","Aethia","cristatella",NA,"Crested Auklet",264,8.96666666666667,1.01893939393939,2.93333333333333,5.57594910314632,2.19351399793968,0.018762276455523,1.07613943281605,-0.111918477380126,-0.131918804719471,0.990737169222142,-1.35621982898994
"1044","Aves","Charadriiformes","Alcidae","Aethia","pusilla",NA,"Least Auklet",85,6.03605882385176,0.967058823529412,2.08055555566667,4.44265125649032,1.7977512863604,-0.0334959544281822,0.732634952120468,-0.470036047739068,-0.448951629490089,0.953883419702278,-1.75407338152046
"1046","Aves","Charadriiformes","Alcidae","Alca","torda",NA,"Razorbill",720,5,0.277777777777778,4.50946369641494,6.5792512120101,1.6094379124341,-1.28093384546206,1.50617823212331,0.205120961653912,-0.599803438241097,0.07416049758389,-0.858140550129017
"1047","Aves","Charadriiformes","Alcidae","Alle","alle",NA,"Little Auk",160,11.41465,0.713415625,5.32968286561716,5.07517381523383,2.43489761810126,-0.337691104138518,1.67329173652335,-0.270161458192439,0.0614458774856936,0.73935775239581,-0.664586447816434
"1049","Aves","Charadriiformes","Alcidae","Brachyramphus","marmoratus",NA,"Marbled Murrelet",222,5.68684684684685,0.661261261261261,4.3,5.40267738187228,1.7381559375676,-0.413606265691864,1.45861502269952,-0.166671645770646,-0.496691553485394,0.685820571719465,-0.913229181871722
"1050","Aves","Charadriiformes","Alcidae","Brachyramphus","perdix",NA,"Long-billed Murrelet",225,5.61102222222222,0.652444444444444,4.3,5.41610040220442,1.72473291723546,-0.427029286024005,1.45861502269952,-0.162430025227195,-0.507444304890068,0.676354337965367,-0.913229181871722
"1052","Aves","Charadriiformes","Alcidae","Cepphus","columba",NA,"Pigeon Guillemot",487,22.9012662496715,0.947638603696099,4.02777777666667,6.18826412308259,3.13119220377697,-0.053782069139683,1.3932148036886,0.0815706110187382,0.619225155094651,0.939577168272286,-0.988976984104396
"1054","Aves","Charadriiformes","Alcidae","Cerorhinca","monocerata",NA,"Rhinoceros Auklet",505,4.54257425742574,0.613861386138614,2.46666666666667,6.22455842927536,1.51349386841396,-0.487986131796168,0.902867711542014,0.0930394660862479,-0.676661137073415,0.633366117973619,-1.55690649753749
"1055","Aves","Charadriiformes","Alcidae","Fratercula","arctica",NA,"Atlantic Puffin",437.9166667,16.5502426228015,0.602740247337565,6.8645833325,6.08202863359917,2.80640076170362,-0.506268942329544,1.92637534291327,0.048000622783118,0.359045139825051,0.620472644380615,-0.37146010580898
"1056","Aves","Charadriiformes","Alcidae","Fratercula","cirrhata",NA,"Tufted Puffin",775,5.67290322580645,0.630322580645161,1.71311234966266,6.65286302935335,1.73570101946571,-0.461523557870509,0.53831180368437,0.228382000448307,-0.498658109701153,0.652028155601288,-1.97914222134364
"1065","Aves","Charadriiformes","Alcidae","Uria","aalge",NA,"Common Murre",991.5,7.84711716166414,0.265254664649521,5.916666666,6.89921894795985,2.06014622379265,-1.32706491578209,1.77777322714064,0.306229481827741,-0.238755454393911,0.0416277676788014,-0.54357395874614
"1066","Aves","Charadriiformes","Alcidae","Uria","lomvia",NA,"Thick-billed Murre",964,6.55255878371369,0.259336099585062,4.95291800996241,6.87109129461055,1.87985562736384,-1.3496303767483,1.59997689985762,0.297341256276909,-0.38318047320712,0.0257140669624537,-0.749501113737506
"1172","Aves","Charadriiformes","Haematopodidae","Haematopus","moquini",NA,"African Oystercatcher",547.25,91.5508451347647,0.847693010507081,9.03793456370299,6.30490573640297,4.51689450247895,-0.165236724645274,2.20143067083265,0.118428892615493,1.72926685734484,0.86097668969951,-0.0528856897385529
"1185","Aves","Charadriiformes","Laridae","Anous","minutus",NA,"Black Noddy",111.325,21.1488883898495,0.970132494947227,10.9,4.71245385120777,3.0515873457115,-0.0303226240835464,2.3887627892351,-0.384779510826156,0.555456254489404,0.956121327868845,0.164086003493979
"1208","Aves","Charadriiformes","Laridae","Hydroprogne","caspia",NA,"Caspian Tern",654.6666667,52.9549150363245,0.798879837026534,9.95143994844889,6.48412620029722,3.96944089184386,-0.224544736232295,2.29771725913687,0.175061839795081,1.29071931475822,0.819151266860123,0.0586353045154581
"1226","Aves","Charadriiformes","Laridae","Larus","glaucescens",NA,"Glaucous-winged Gull",1010,73.897911509901,0.947029702970297,5.15555970381432,6.9177056098353,4.30268456652505,-0.0544248209549976,1.64007568651482,0.312071192772856,1.55767014269126,0.939123884377969,-0.703057921231176
"1247","Aves","Charadriiformes","Laridae","Onychoprion","fuscatus",NA,"Sooty Tern",183,34.8132058253497,1.02896174863388,8.47612157668559,5.20948615284142,3.5499967925369,0.0285502828216858,2.13725298394235,-0.227719298653189,0.954716089224392,0.997639904519863,-0.127217531555557
"1255","Aves","Charadriiformes","Laridae","Rissa","tridactyla",NA,"Black-legged Kittiwake",407.75,45.0627426871367,0.97608828939301,5.12767845748193,6.01065424150112,3.80805580059819,-0.0242022362166856,1.63465301435328,0.0254466013849309,1.16143889026015,0.960437571216456,-0.709338565312762
"1264","Aves","Charadriiformes","Laridae","Sterna","hirundo",NA,"Common Tern",124,77.1774193548387,0.935483870967742,13.2221988039097,4.82028156560504,4.34610691884196,-0.0666913744986723,2.58189714464086,-0.350706385909128,1.59245439752488,0.930473218556988,0.38777796017029
"1304","Aves","Charadriiformes","Scolopacidae","Actitis","macularius",NA,"Spotted Sandpiper",41.85833333,12.155515031826,0.144296237319872,11.9917864476386,3.73429090088836,2.49778297888408,-1.93588688894164,2.48422195273968,-0.693875076671564,0.111821324647297,-0.387727993539822,0.274648658295412
"1306","Aves","Charadriiformes","Scolopacidae","Arenaria","interpres",NA,"Ruddy Turnstone",135,48.0565432004444,0.707407407407407,8.50952501063877,4.90527477843843,3.8723783009725,-0.346148530951745,2.14118612559144,-0.323848871826042,1.21296558389078,0.733393373501107,-0.122662090606063
"1400","Aves","Charadriiformes","Stercorariidae","Stercorarius","skua",NA,"Great Skua",1420.25,54.1400457665904,0.823798627002288,6.58305231358291,7.25858819143724,3.99157412952363,-0.193829163645434,1.88449851522356,0.419788720218245,1.30844954213345,0.840812620475297,-0.419962659927998
"2765","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",NA,"Horned Lark",34.25,27.2157664245036,0.651094890510949,7.93331576254551,3.53368656470823,3.30379645333065,-0.429099886242161,2.07107107720168,-0.757265241656235,0.757492887759639,0.674894101357559,-0.20387069967931
"2847","Aves","Passeriformes","Bombycillidae","Bombycilla","cedrorum",NA,"Cedar Waxwing",32.04816667,59.8359344466053,1.03594069332765,7.6,3.46723997954648,4.09160639096053,0.0353098963759585,2.02814824729229,-0.778262095843321,1.38858218091839,1.00240694505238,-0.25358475385856
"2855","Aves","Passeriformes","Calcariidae","Calcarius","pictus",NA,"Smith's Longspur",26.4,16.6666666666667,0.833333333333333,5,3.27336401015227,2.81341071676004,-0.182321556793955,1.6094379124341,-0.83952612393206,0.364660590164427,0.848928059006336,-0.738543185455272
"2856","Aves","Passeriformes","Calcariidae","Plectrophenax","hyperboreus",NA,"McKay's Bunting",42.2,25.5810604265403,0.597156398104265,8.39261299055003,3.74242022104197,3.24185225059013,-0.515576226524589,2.12735191305816,-0.691306244135027,0.707871372143311,0.613908925811616,-0.138685143905634
"2857","Aves","Passeriformes","Calcariidae","Plectrophenax","nivalis",NA,"Snow Bunting",40.33333333,28.7554909114674,0.624793388481388,8.81850678410033,3.69717825684599,3.35882873723238,-0.470334262328609,2.17685255683119,-0.70560252321465,0.801577486708644,0.645814636894255,-0.0813525381190411
"2945","Aves","Passeriformes","Cardinalidae","Cardinalis","cardinalis",NA,"Northern Cardinal",43.05,77.5796515679443,0.629500580720093,15.8332280896347,3.76236223087374,4.35130517074038,-0.462828502988085,2.76211077537995,-0.685004649077645,1.59661855052618,0.65110787721285,0.596504882913146
"2964","Aves","Passeriformes","Cardinalidae","Passerina","amoena",NA,"Lazuli Bunting",15.15,43.8567326732673,0.831683168316832,8.9,2.71800053195538,3.78092824576134,-0.184303717997946,2.18605127673809,-1.01501875375114,1.13970787546917,0.847530191698457,-0.0706984022944287
"2976","Aves","Passeriformes","Cardinalidae","Pheucticus","melanocephalus",NA,"Black-headed Grosbeak",45.55,36.6918221836992,0.724478594950604,11.9417279401429,3.81881062370597,3.60255390144847,-0.322303062239487,2.48003881609866,-0.667167183532825,0.99681790481364,0.750209766177334,0.269803668297082
"2985","Aves","Passeriformes","Cardinalidae","Piranga","olivacea",NA,"Scarlet Tanager",28.825,28.7320034692108,0.711188204683435,10.0965422800411,3.36124306615512,3.35801160495634,-0.34081818001076,2.3121930167218,-0.811756694991522,0.800922908229914,0.73715246398523,0.0754014077379592
"2987","Aves","Passeriformes","Cardinalidae","Piranga","rubra",NA,"Summer Tanager",30,26.572,0.606666666666667,7.29750085587128,3.40119738166216,3.27985802980299,-0.499775787579406,1.98753194102893,-0.799131291672392,0.738316583854593,0.625051771815828,-0.300627347611109
"3052","Aves","Passeriformes","Cinclidae","Cinclus","mexicanus",NA,"American Dipper",55.9,39.457030411449,0.948121645796064,5.1,4.02356438016105,3.67521224209736,-0.0532724666089316,1.62924053973028,-0.602465818397505,1.05502217293972,0.939936552118723,-0.715607398407402
"3233","Aves","Passeriformes","Corvidae","Aphelocoma","californica",NA,"California Scrub Jay",82.75,45.9714126888218,0.727395770392749,10.5777308227042,4.41582401425717,3.82801974001426,-0.318284561138552,2.35875092542119,-0.47851334859719,1.17743136231839,0.753043708898218,0.129325680681747
"3234","Aves","Passeriformes","Corvidae","Aphelocoma","coerulescens",NA,"Florida Scrub Jay",78.725,45.1541822800889,0.762095903461416,10.5777308227042,4.36596076698709,3.81008290636127,-0.271682873653975,2.35875092542119,-0.494269934577883,1.16306273972189,0.78590832924064,0.129325680681747
"3235","Aves","Passeriformes","Corvidae","Aphelocoma","insularis",NA,"Island Scrub Jay",108.5,33.6801508202765,0.552958525345622,12.6719123886786,4.68675017298051,3.51690866740081,-0.592472279647401,2.53938792127596,-0.392901769968527,0.928210252592144,0.559679997029836,0.338542953113637
"3239","Aves","Passeriformes","Corvidae","Aphelocoma","woodhouseii",NA,"Woodhouse's Scrub Jay",82.75,45.9714126888218,0.727395770392749,10.5777308227042,4.41582401425717,3.82801974001426,-0.318284561138552,2.35875092542119,-0.47851334859719,1.17743136231839,0.753043708898218,0.129325680681747
"3250","Aves","Passeriformes","Corvidae","Corvus","brachyrhynchos",NA,"American Crow",453,57.6941721854305,0.860927152317881,7.3,6.11589212548303,4.0551561664274,-0.149745386359342,1.98787434815435,0.0587013502865743,1.35938307420834,0.871901550554209,-0.300230765036752
"3252","Aves","Passeriformes","Corvidae","Corvus","caurinus",NA,"Northwestern Crow",387,55.6447364229907,0.782945736434108,8.341666665,5.95842469302978,4.01898748965419,-0.244691887520413,2.12126303633337,0.00894227372323841,1.33040950638567,0.804943015747232,-0.145737399034801
"3330","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",NA,"Pinyon Jay",105,32.5354857142857,0.774285714285714,7.36424297783207,4.65396035015752,3.4823313618131,-0.255814333603758,1.99663625818664,-0.403263222358575,0.900511481225619,0.797099201766694,-0.290082550881755
"3337","Aves","Passeriformes","Corvidae","Pica","hudsonia",NA,"Black-billed Magpie",189,53.9271604919012,0.955026455026455,6.24844858702829,5.24174701505964,3.98763425622742,-0.0460162372867068,1.83233320685965,-0.217524995690942,1.30529343590163,0.945053817923129,-0.4803815319305
"3339","Aves","Passeriformes","Corvidae","Pica","pica",NA,"Eurasian Magpie",213.375,53.2512009542355,0.845928529584066,6.00604192049573,5.3630511811146,3.9750203574664,-0.167320403341669,1.7927659493063,-0.179193366146068,1.2951888458567,0.85950722983724,-0.526209097118622
"3507","Aves","Passeriformes","Emberizidae","Ammodramus","caudacutus",NA,"Saltmarsh Sparrow",17.475,69.9583290414878,0.881087267525036,10,2.86077128811987,4.247899765381,-0.126598602872092,2.30258509299405,-0.969903767900949,1.51378379424806,0.888225213762939,0.0642733241106691
"3508","Aves","Passeriformes","Emberizidae","Ammodramus","henslowii",NA,"Henslow's Sparrow",12.775,29.9178082191781,0.767123287671233,6.49555099247091,2.54749013608977,3.3984538957164,-0.265107750413242,1.87111747985327,-1.06889935439687,0.833319931255889,0.790545262808397,-0.435460834647069
"3511","Aves","Passeriformes","Emberizidae","Ammodramus","maritimus",NA,"Seaside Sparrow",23.25,52.9501075249115,0.738838709677419,8.958333333,3.14630513203337,3.96935010273301,-0.302675636689332,2.19258419774251,-0.879676219389081,1.29064658651114,0.764051494316867,-0.0631318464674303
"3512","Aves","Passeriformes","Emberizidae","Ammodramus","nelsoni",NA,"Nelson's Sparrow",16.825,72.6610282317979,0.915126300148588,10,2.82286587553079,4.28580517797008,-0.0886931902830098,2.30258509299405,-0.981881726122532,1.5441486054736,0.914957013852267,0.0642733241106691
"3514","Aves","Passeriformes","Emberizidae","Ammodramus","savannarum",NA,"Grasshopper Sparrow",17.9,26.0889217877095,0.575418994413408,5.098254022595,2.88480071284671,3.26151077164497,-0.552656817611119,1.62889813260487,-0.962310566144068,0.723619183340478,0.587758809498023,-0.71600398098176
"3561","Aves","Passeriformes","Emberizidae","Calamospiza","melanocorys",NA,"Lark Bunting",37.4,17.7946524064171,0.631016042780749,4,3.62167070442049,2.87889798555515,-0.460423992388922,1.38629436111989,-0.729462606685344,0.417120342448257,0.652803595377068,-0.996992374923957
"3617","Aves","Passeriformes","Emberizidae","Junco","phaeonotus",NA,"Yellow-eyed Junco",20.4,35.0746323529412,0.867647058823529,6.6,3.01553490085017,3.55747814419278,-0.141970261270387,1.88706964903238,-0.920999087516632,0.960709160272201,0.877384754016485,-0.416984722878094
"3620","Aves","Passeriformes","Emberizidae","Melospiza","lincolnii",NA,"Lincoln's Sparrow",17.4,29.6972948275862,0.844827586206897,7.59739815131804,2.85647020622048,3.39105595841407,-0.168622712435793,2.02780584016687,-0.971262892516132,0.82739368077343,0.858588810435346,-0.253981336432917
"3621","Aves","Passeriformes","Emberizidae","Melospiza","melodia",NA,"Song Sparrow",23.35,83.9353854389722,0.762312633832976,11.15,3.15059698411491,4.43004728187645,-0.271398526816867,2.41143949790613,-0.878320011359289,1.65969633221574,0.786108857404995,0.190350607339029
"3622","Aves","Passeriformes","Emberizidae","Melozone","aberti",NA,"Abert's Towhee",46.05,26.9345276872964,0.695982627578719,8.6,3.82972776270132,3.2934090207011,-0.362430579334637,2.15176220325946,-0.663717411432912,0.749171848378438,0.721910885046633,-0.110412672305782
"3631","Aves","Passeriformes","Emberizidae","Passerculus","sandwichensis",NA,"Savannah Sparrow",20.2,41.888,0.762376237623762,6.8143006968048,3.00568260440716,3.73499938972749,-0.271315094987576,1.91902344752909,-0.924112373644403,1.10291574083681,0.786167695518852,-0.379975213648349
"3643","Aves","Passeriformes","Emberizidae","Pipilo","erythrophthalmus",NA,"Eastern Towhee",40.3,52.5079301223387,0.612903225806452,11.8415176357781,3.69635146895264,3.96096420813999,-0.489548225318706,2.47161179993915,-0.705863784870129,1.28392891510535,0.632264492403203,0.260043334721504
"3644","Aves","Passeriformes","Emberizidae","Pipilo","maculatus",NA,"Spotted Towhee",39.85,49.430991217064,0.619824341279799,7.33333333333333,3.68512240523622,3.90057758006266,-0.478319161602293,1.99243016469021,-0.709412123929798,1.23555512263427,0.640183495678844,-0.294954129955314
"3646","Aves","Passeriformes","Emberizidae","Pooecetes","gramineus",NA,"Vesper Sparrow",25.15,51.8682488425994,0.695825049701789,7.50742196899521,3.22485789654575,3.94870682728829,-0.36265701561628,2.0158921270811,-0.854853861122754,1.27410992013183,0.721751196785764,-0.267780030020276
"3650","Aves","Passeriformes","Emberizidae","Spizella","arborea",NA,"American Tree Sparrow",17.85,45.0572549019608,0.935574229691877,10.7726077192135,2.88200350822565,3.80793401219763,-0.0665947888029388,2.3770065899207,-0.963194471576031,1.16134132947555,0.930541333090863,0.150469745411939
"3652","Aves","Passeriformes","Emberizidae","Spizella","breweri",NA,"Brewer's Sparrow",10.9,14.1058348623853,0.880733944954128,5.2,2.3887627892351,2.64658853181156,-0.126999690761308,1.64865862558738,-1.11905655885361,0.231024684150004,0.887942357027174,-0.693116994713259
"3653","Aves","Passeriformes","Emberizidae","Spizella","pallida",NA,"Clay-colored Sparrow",11.7,31.6923076923077,0.88034188034188,6.53731343283582,2.45958884180371,3.45607399188799,-0.12744494656812,1.87752629098548,-1.09667581054563,0.879477543679596,0.887628352023579,-0.428038025281432
"3654","Aves","Passeriformes","Emberizidae","Spizella","passerina",NA,"Chipping Sparrow",12.3,67.5642276422764,0.861788617886179,9.84130652492104,2.50959926237837,4.21307866609601,-0.14874526126035,2.28658847917296,-1.08087271839146,1.4858897275638,0.872606862602923,0.0457457356952523
"3655","Aves","Passeriformes","Emberizidae","Spizella","pusilla",NA,"Field Sparrow",12.8,61.1875,0.6953125,8.81850678410033,2.54944517092557,4.11394292029073,-0.363393894187477,2.17685255683119,-1.06828157123648,1.40647525871965,0.721231532460543,-0.0813525381190411
"3656","Aves","Passeriformes","Emberizidae","Spizella","wortheni",NA,"Worthen's Sparrow",12.5,60.698,0.712,8.81850678410033,2.52572864430826,4.10591074859347,-0.339677367570161,2.17685255683119,-1.07577589844676,1.40004094338947,0.737956992099252,-0.0813525381190411
"3659","Aves","Passeriformes","Emberizidae","Zonotrichia","albicollis",NA,"White-throated Sparrow",25.35,47.4215207100592,0.800788954635108,9.72039952338332,3.23277873003719,3.85907614908255,-0.222157843989451,2.27422672085637,-0.85235090953457,1.20230965632154,0.820834560139692,0.0314281074307864
"3660","Aves","Passeriformes","Emberizidae","Zonotrichia","atricapilla",NA,"Golden-crowned Sparrow",31.625,46.0173913043478,0.730434782608696,10.5220819583015,3.45394794704768,3.8290193968716,-0.314115329519936,2.35347609251051,-0.782462324757236,1.17823215538962,0.755983950371465,0.123216266888169
"3663","Aves","Passeriformes","Emberizidae","Zonotrichia","leucophrys",NA,"White-crowned Sparrow",27.96,56.9317060085837,0.722460658082976,13.3,3.33077491736561,4.04185240929045,-0.32509231295845,2.58776403522771,-0.82138450770645,1.34872586072717,0.748242720113844,0.394573106648609
"3664","Aves","Passeriformes","Emberizidae","Zonotrichia","querula",NA,"Harris's Sparrow",35.55,32.253164556962,0.689170182841069,11.7246056106789,3.57094015624925,3.47361616422503,-0.372267038698568,2.46168967715074,-0.745493256269359,0.893530015744063,0.714973979540448,0.248551339647621
"3831","Aves","Passeriformes","Fringillidae","Acanthis","flammea",NA,"Common Redpoll",13,66.0719230769231,0.707692307692308,10.6924394757217,2.56494935746154,4.19074389227664,-0.345745873406542,2.36953690066069,-1.06338231052666,1.46799805604601,0.733677337195673,0.141818206420726
"3832","Aves","Passeriformes","Fringillidae","Acanthis","hornemanni",NA,"Arctic Redpoll",14.3,687.587412587413,33.2167832167832,4.6,2.66025953726586,6.5331889670401,3.50305526676878,1.52605630349505,-1.03326467629421,3.3444557343321,3.44794360249357,-0.835117382289435
"3944","Aves","Passeriformes","Fringillidae","Haemorhous","mexicanus",NA,"House Finch",21.4,68.8397663551402,0.551401869158879,11.6488934376616,3.06339092202781,4.23178157730998,-0.595291390556187,2.45521119160875,-0.905876776923923,1.500872030343,0.557691892849036,0.241047832029087
"3957","Aves","Passeriformes","Fringillidae","Leucosticte","tephrocotis",NA,"Grey-crowned Rosy Finch",32.6,54.0476227021196,1.24233128834356,6.60552922971222,3.48431228837266,3.98986555980839,0.216989685739831,1.88790706038321,-0.772867314784407,1.30708086169112,1.13053186120077,-0.416014816808216
"4016","Aves","Passeriformes","Fringillidae","Spinus","pinus",NA,"Pine Siskin",13.05,70.3379310344828,1.42528735632184,9.43962054431202,2.5687881337687,4.25331121282994,0.354373446950453,2.24491578277239,-1.06216927262287,1.51811873137236,1.22741816290165,-0.0025203896051187
"4401","Aves","Passeriformes","Hirundinidae","Hirundo","rustica",NA,"Barn Swallow",19,103.492406867656,0.947368421052632,13.50166667,2.94443897916644,4.63949824641665,-0.0540672212702758,2.60281313486123,-0.943465113381707,1.8274807873862,0.939376072195778,0.41200326575296
"4414","Aves","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota",NA,"American Cliff Swallow",22.4,54.2633928571429,0.928571428571429,10.9962341663814,3.10906095886099,3.99384983489518,-0.0741079721537217,2.39755286567296,-0.891445228609273,1.31027253677438,0.92524285718335,0.174266840526252
"4427","Aves","Passeriformes","Hirundinidae","Progne","subis",NA,"Purple Martin",51.45,66.8086297376093,1.01068999028183,13.8,3.94061046228006,4.20183225988735,0.0106332563013687,2.62466859216316,-0.628678923461592,1.47688059197692,0.98500439052801,0.437316680332429
"4442","Aves","Passeriformes","Hirundinidae","Riparia","diluta",NA,"Pale Martin",13.4,58.3029850746269,1.08208955223881,8,2.59525470695687,4.06565329401183,0.0788939424696629,2.07944154167984,-1.0538059417352,1.36779198670237,1.03314345278786,-0.194175865358017
"4444","Aves","Passeriformes","Hirundinidae","Riparia","riparia",NA,"Sand Martin",13.4,58.3029850746269,1.08208955223881,8,2.59525470695687,4.06565329401183,0.0788939424696629,2.07944154167984,-1.0538059417352,1.36779198670237,1.03314345278786,-0.194175865358017
"4446","Aves","Passeriformes","Hirundinidae","Stelgidopteryx","serripennis",NA,"Northern Rough-winged Swallow",15.8,31.5911392405063,0.892405063291139,5.9,2.76000994003292,3.45287667749093,-0.113835142648799,1.77495235091167,-1.0017439494291,0.876916277584227,0.897226310013648,-0.546841152311331
"4449","Aves","Passeriformes","Hirundinidae","Tachycineta","bicolor",NA,"Tree Swallow",20.8,54.4711538461538,0.990384615384615,11,3.03495298670727,3.99767127432073,-0.00966191091173686,2.39789527279837,-0.914863050332157,1.313333769428,0.970691755058202,0.174663423100609
"4455","Aves","Passeriformes","Hirundinidae","Tachycineta","thalassina",NA,"Violet-green Swallow",14.15,35.6819787985866,1.1660777385159,6.82866167035337,2.64971462408925,3.57464576577562,0.153645756817288,1.92112870567849,-1.03659682652956,0.974461591731147,1.08586021329691,-0.377536862823825
"4463","Aves","Passeriformes","Icteridae","Agelaius","assimilis",NA,"Red-shouldered Blackbird",54,68.5392296296296,0.659259259259259,10.5285257873117,3.98898404656427,4.22740627666386,-0.416638408706289,2.35408831513984,-0.613393065004759,1.49736711721582,0.683682232222081,0.123925355012795
"4465","Aves","Passeriformes","Icteridae","Agelaius","phoeniceus",NA,"Red-winged Blackbird",54,68.7475555555556,0.659259259259259,10.5285257873117,3.98898404656427,4.23044118035901,-0.416638408706289,2.35408831513984,-0.613393065004759,1.49979828130287,0.683682232222081,0.123925355012795
"4487","Aves","Passeriformes","Icteridae","Dolichonyx","oryzivorus",NA,"Bobolink",34.45,33.1908962264151,0.641509433962264,8.99691886340294,3.53950899745967,3.50227562827226,-0.443931388935961,2.19688217021081,-0.755425376278679,0.916488193908563,0.664434572283624,-0.058153851386469
"4489","Aves","Passeriformes","Icteridae","Euphagus","cyanocephalus",NA,"Brewer's Blackbird",62.65,68.8347964884278,0.734237829209896,12.5,4.13756368134208,4.23170937999754,-0.308922284852982,2.52572864430826,-0.566442496830251,1.5008141953898,0.759646209199692,0.322722513579354
"4528","Aves","Passeriformes","Icteridae","Molothrus","ater",NA,"Brown-headed Cowbird",42.55,40.3058049353702,0.554641598119859,16.9,3.75067985501938,3.69649550164073,-0.589433142987819,2.82731362192903,-0.688696232953258,1.07207151007013,0.561823268612414,0.672024084532064
"4547","Aves","Passeriformes","Icteridae","Quiscalus","mexicanus",NA,"Great-tailed Grackle",168.7,36.8050718731476,0.595732068761114,12.4914442162902,5.12812198955192,3.6056356583181,-0.517964262052792,2.52504394725994,-0.253430047647816,0.999286601477197,0.612224826259973,0.32192948417686
"4556","Aves","Passeriformes","Icteridae","Sturnella","neglecta",NA,"Western Meadowlark",97.7,39.5496417604913,0.409416581371546,10,4.58190155904874,3.67755663628367,-0.893022104934801,2.30258509299405,-0.426033511096902,1.0569001919888,0.347725099359647,0.0642733241106691
"4558","Aves","Passeriformes","Icteridae","Xanthocephalus","xanthocephalus",NA,"Yellow-headed Blackbird",72.5,33.7568834482759,0.622068965517241,14.7389273356401,4.28358656186063,3.51918435054573,-0.474704315351996,2.69049211176852,-0.520299852738569,0.930033229428032,0.642732771381608,0.513554757524397
"4564","Aves","Passeriformes","Incertae Sedis","Icteria","virens",NA,"Yellow-breasted Chat",25.3,32.5977450592885,0.644268774703557,8.91871708846511,3.23080439573347,3.48424311601984,-0.439639287920758,2.18815211208513,-0.852974791249346,0.902042926252391,0.667461464182821,-0.0682651740453938
"4594","Aves","Passeriformes","Laniidae","Lanius","ludovicianus",NA,"Loggerhead Shrike",47.225,117.257808364214,0.938062466913711,12.5262880455971,3.85492341338757,4.76437500096582,-0.0639387363364834,2.52782947965529,-0.655755686954216,1.92751555338253,0.932414444573114,0.325155741828389
"5049","Aves","Passeriformes","Mimidae","Dumetella","carolinensis",NA,"Grey Catbird",35.35,68.2098656502475,0.806223479490806,10.91666667,3.56529839234258,4.22258921201577,-0.215394305067977,2.39029067371849,-0.747276031017195,1.49350832110441,0.825604368934684,0.165855628939169
"5063","Aves","Passeriformes","Mimidae","Mimus","polyglottos",NA,"Northern Mockingbird",48.5,141.082474226804,0.721649484536082,20.0420608729553,3.88156379794344,4.9493446429714,-0.326215736454024,2.99783310890102,-0.647337432372047,2.07568880565238,0.747450455098162,0.869523061925645
