"","class","genus","species","common_name","adult_body_mass_g","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","I","I_m"
"14634","Mammalia","Sorex","coronatus","Millet's Shrew",8.4,NA,NA,8.4,8.5,1.01190476190476
"14639","Mammalia","Sorex","excelsus","Chinese Highland Shrew",8.2,NA,NA,8.4,8.5,1.03658536585366
"14642","Mammalia","Sorex","gracillimus","Slender Shrew",4.26,NA,NA,NA,4.73,1.11032863849765
"14657","Mammalia","Sorex","minutus","Eurasian Pygmy Shrew",4.2,NA,NA,NA,4.73,1.12619047619048
"14667","Mammalia","Sorex","planiceps","Kashmir Pygmy Shrew",4.2,NA,NA,NA,4.73,1.12619047619048
"14671","Mammalia","Sorex","roboratus","Flat-skulled Shrew",8.2,NA,NA,8.4,8.5,1.03658536585366
"14672","Mammalia","Sorex","samniticus","Apennine Shrew",8.2,NA,NA,8.4,8.5,1.03658536585366
"14673","Mammalia","Sorex","satunini","Caucasian Shrew",8.195,NA,NA,8.4,8.5,1.03721781574131
"14677","Mammalia","Sorex","sinalis","Chinese Shrew",8.2,NA,NA,8.4,8.5,1.03658536585366
"14681","Mammalia","Sorex","thibetanus","Tibetan Shrew",4.2,NA,NA,NA,4.73,1.12619047619048
"14690","Mammalia","Sorex","volnuchini","Caucasian Pygmy Shrew",4.2,NA,NA,NA,4.73,1.12619047619048
"21253","Reptilia","Podocnemis","sextuberculata","Six-tubercled Amazon River Turtle, Amazon River Turtle",14.3,25800,NA,25800,27.9,1.95104895104895
