class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Accipitriformes,Accipitridae,Accipiter,albogularis,NA,Pied Goshawk,NA,NA,NA,251.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352.5,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,badius,NA,Shikra,363.468,3.25,1,140,NA,NA,NA,NA,NA,21,30,32,NA,NA,NA,168.5,125,123,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,NA,Bicolored Hawk,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,390,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,brachyurus,NA,New Britain Sparrowhawk,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,brevipes,NA,Levant Sparrowhawk,363.468,4,1,203.5,NA,NA,NA,NA,NA,21.85,32.5,42.5,NA,NA,NA,230.5,170,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,castanilius,NA,Chestnut-flanked Sparrowhawk,NA,NA,NA,159.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,chilensis,NA,Chilean Hawk,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,377,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,chionogaster,NA,White-breasted Hawk,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,NA,Collared Sparrowhawk,NA,3.25,NA,180,NA,NA,NA,NA,NA,20.75,NA,NA,NA,NA,NA,231,127.25,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,NA,Cooper's Hawk,730,4.35,1,452,20.33333333,NA,NA,28,NA,40,29.75,32,12,730,NA,529,338.5,452,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,erythrauchen,NA,Rufous-necked Sparrowhawk,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,erythronemius,NA,Rufous-thighed Hawk,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,erythropus,NA,Red-thighed Sparrowhawk,NA,2,NA,107,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,146,84.7,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,fasciatus,NA,Brown Goshawk,NA,3,NA,453.5,NA,NA,NA,NA,NA,31,30,30,NA,NA,NA,499.375,303.25,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,francesiae,NA,Frances's Sparrowhawk,NA,3,NA,135.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.25,119.5,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,NA,Northern Goshawk,636.835,3.5,1,988.75,22,NA,NA,37,NA,58,34.75,41.65,17.70833333,730,NA,1117.333334,734,924.5,NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,griseiceps,NA,Sulawesi Goshawk,NA,NA,NA,255.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,gularis,NA,Japanese Sparrowhawk,NA,3.2,NA,118.75,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,140.75,103.5,NA,NA,NA,NA,28.25,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,gundlachi,NA,Gundlach's Hawk,NA,3.75,NA,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,haplochrous,NA,White-bellied Goshawk,NA,3,NA,240.5,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,254,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,henstii,NA,Henst's Goshawk,NA,2,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,hiogaster,NA,Variable Goshawk,NA,2.725,NA,342.75,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,597.25,261.375,354,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,imitator,NA,Imitator Goshawk,NA,NA,NA,237.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,luteoschistaceus,NA,Slaty-mantled Goshawk,NA,NA,NA,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,madagascariensis,NA,Madagascan Sparrowhawk,NA,3,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.5,156,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,melanochlamys,NA,Black-mantled Goshawk,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,melanoleucus,NA,Black Sparrowhawk,1090.404,2.8,1,701.8833333,10,NA,NA,NA,NA,50.75,37.5,40,7.5,NA,NA,865,550,699.15,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,meyerianus,NA,Meyer's Goshawk,NA,3,NA,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,minullus,NA,Little Sparrowhawk,363.468,2,NA,84.05,NA,NA,NA,NA,NA,17.95,31.5,25.5,NA,NA,NA,97.25,80.9,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,nisus,NA,Eurasian Sparrowhawk,365,4.75,1,212,20.25,NA,NA,13.8,NA,22.5,34,26.5,17.89166667,365,NA,290,147,169.5,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,novaehollandiae,NA,Grey Goshawk,NA,2.725,NA,479.5833333,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,716,312,354,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,ovampensis,NA,Ovambo Sparrowhawk,NA,3,NA,199.1666667,NA,NA,NA,NA,NA,NA,33,33,NA,NA,NA,260,140,195,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,poliocephalus,NA,Grey-headed Goshawk,NA,1,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,rhodogaster,NA,Vinous-breasted Sparrowhawk,NA,NA,NA,188.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,rufitorques,NA,Fiji Goshawk,NA,2.7,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,rufiventris,NA,Rufous-breasted Sparrowhawk,NA,3,NA,198,NA,NA,NA,NA,NA,23,NA,29,NA,NA,NA,NA,NA,198,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,soloensis,NA,Chinese Sparrowhawk,726.936,3.5,NA,161,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,192.5,149.5,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,striatus,NA,Sharp-shinned Hawk,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,superciliosus,NA,Tiny Hawk,NA,1.85,NA,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,73.875,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,tachiro,NA,African Goshawk,NA,2.45,1.5,298.5,NA,NA,NA,NA,NA,34,29,32,NA,NA,NA,340.5,203.5,341.85,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,toussenelii,NA,Red-chested Goshawk,NA,2.45,1.5,298.5,NA,NA,NA,NA,NA,34,29,32,NA,NA,NA,340.5,203.5,341.85,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,trinotatus,NA,Spot-tailed Sparrowhawk,NA,NA,NA,146.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,trivirgatus,NA,Crested Goshawk,NA,2,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,199,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,ventralis,NA,Plain-breasted Hawk,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Accipiter,virgatus,NA,Besra,NA,3.5,NA,113.5,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,141.5,101.825,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aegypius,monachus,NA,Cinereous Vulture,1999.074,1,1,9625,39,NA,NA,NA,NA,243,53.5,112.5,32.25,NA,NA,10000,9250,8200,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aegypius,occipitalis,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,adalberti,NA,Spanish Imperial Eagle,1767.453,2.5,1,3262,56,NA,NA,78,NA,132,43,71,44.5,NA,NA,3873,2624,3000,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,africana,NA,Cassin's Hawk-Eagle,NA,NA,NA,1060.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153,993.75,1046.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,audax,NA,Wedge-tailed Eagle,1638.279,2,2,3466,40,NA,NA,NA,NA,143,43,79,33.2,1095.75,1,3855,3041.5,3402,NA,NA,NA,95.5,NA,NA,NA,NA,NA,NA,1095.75
Aves,Accipitriformes,Accipitridae,Aquila,ayresii,NA,NA,NA,1.5,1,812,NA,NA,NA,NA,NA,72,45,75,NA,NA,NA,910,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,NA,Golden Eagle,1460,2,1,4383,48,NA,NA,104.05,NA,142,44,74.5,32,1460,NA,4692.25,3708.25,3640.75,NA,NA,3518,78,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,fasciata,NA,Bonelli's Eagle,1090.404,2,1,2000,20,NA,NA,NA,NA,112,39.25,62.5,20,NA,NA,2500,1560,2049,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,gurneyi,NA,Gurney's Eagle,NA,NA,NA,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,heliaca,NA,Eastern Imperial Eagle,1635.606,2.5,1,3262,56,NA,NA,78,NA,132.25,43,70.5,56,NA,NA,3845,2949,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,NA,Steppe Eagle,1453.872,2,1,2534.5,42.5,NA,NA,92.5,NA,117,44.5,84,40.65,NA,NA,2987,2333,2486.5,NA,NA,NA,68.25,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,rapax,NA,Tawny Eagle,1453.872,2,1,2347,42.5,NA,NA,92.5,NA,105.4,44.5,84,40.3,NA,NA,2405.5,2034.6,2486.5,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,spilogaster,NA,African Hawk-Eagle,1453.872,2,1,1413.833333,NA,NA,NA,NA,NA,87,43,69,NA,NA,NA,1631,1318,1420,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aquila,verreauxii,NA,Verreaux's Eagle,1817.34,2,1,4195,40,NA,NA,95,NA,147.5,44.5,94,40,NA,NA,4355.5,3665,4195,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aviceda,cuculoides,NA,African Cuckoo-Hawk,NA,2,1,275.75,NA,NA,NA,NA,NA,31.4,32.5,29,NA,NA,NA,NA,NA,275.75,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aviceda,jerdoni,NA,Jerdon's Baza,NA,2.7,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aviceda,leuphotes,NA,Black Baza,NA,2.7,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Aviceda,subcristata,NA,Pacific Baza,NA,2.5,NA,328,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,346.875,308.75,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Busarellus,nigricollis,NA,Black-collared Hawk,NA,1.75,NA,614,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,956,613.5,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Butastur,indicus,NA,Grey-faced Buzzard,726.936,3,NA,402,8.5,NA,NA,NA,NA,42,NA,35,8.5,NA,NA,433,400.5,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Butastur,liventer,NA,Rufous-winged Buzzard,NA,2.7,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Butastur,rufipennis,NA,Grasshopper Buzzard,NA,2,NA,335,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,344,326,NA,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Butastur,teesa,NA,White-eyed Buzzard,NA,3,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,albigula,NA,White-throated Hawk,726.936,2,NA,495,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,583,432.5,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,albonotatus,NA,Zone-tailed Hawk,NA,2,NA,757,NA,NA,NA,NA,NA,58,35,38.5,NA,NA,NA,886,628,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,archeri,NA,Archer's Buzzard,1090.404,2,1,1062.333333,NA,NA,NA,30,NA,71,39.5,48.5,NA,NA,NA,1330,988,1064,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,augur,NA,Augur Buzzard,1090.404,2,1,1060.666667,NA,NA,NA,30,NA,68,39.5,48.5,NA,NA,NA,1165,988,1064,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,auguralis,NA,Red-necked Buzzard,NA,2.5,NA,670,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,760,580,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,bannermani,NA,Cape Verde Buzzard,730,3,1,990.5,28.8,NA,NA,36,NA,60.7,34,41,25.33333333,730,NA,1141.5,805,759,NA,NA,NA,49.25,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,brachypterus,NA,Madagascan Buzzard,NA,2,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,brachyurus,NA,Short-tailed Hawk,726.936,2,NA,495,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,583,432.5,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,burmanicus,NA,Himalayan Buzzard,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,buteo,NA,Common Buzzard,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,galapagoensis,NA,Galapagos Hawk,NA,2.35,NA,1163.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.333333,961.3333333,NA,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,hemilasius,NA,Upland Buzzard,726.936,3,1,1342.5,NA,NA,NA,NA,NA,79,30,45,NA,NA,NA,1562.5,1175,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,NA,Red-tailed Hawk,730,2.75,1,1126,30.66666667,NA,NA,57.6,NA,68,31,45.25,25.5,730,NA,1224,1028,1053.9,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,japonicus,NA,Eastern Buzzard,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,lagopus,NA,Rough-legged Buzzard,728.468,4,1,945.5,18.8,NA,NA,42.31,NA,61.5,29.25,41,17.9,730,NA,1051.5,847,951,NA,NA,NA,53.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,lineatus,NA,Red-shouldered Hawk,545.968,3.2,1,616,22.41666667,NA,NA,35,NA,57,33,42,20,365,NA,676.75,539,641.5,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,nitidus,NA,Grey-lined Hawk,726.936,2,NA,510.5833333,NA,NA,NA,NA,NA,43.2,32,42,NA,NA,NA,624,429.75,465,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,oreophilus,NA,Mountain Buzzard,NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,plagiatus,NA,Grey Hawk,726.936,2,NA,510.5833333,NA,NA,NA,NA,NA,43.2,32,42,NA,NA,NA,624,429.75,465,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,platypterus,NA,Broad-winged Hawk,584.4,2.5,1,437,18.33333333,NA,NA,28,NA,41.75,29.5,39.75,16.32,365,NA,490,420,397,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,regalis,NA,Ferruginous Hawk,730,3.75,1,1469.5,23.7,NA,NA,51.6,NA,80,33.25,46,20,730,NA,1775,1162.5,1469.5,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,ridgwayi,NA,Ridgway's Hawk,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,rufinus,NA,Long-legged Buzzard,726.936,3.25,1,1174.5,8.5,NA,NA,NA,NA,73,33,46.5,8.5,NA,NA,1314,1035,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,rufofuscus,NA,Jackal Buzzard,1090.404,2,1,1062.333333,NA,NA,NA,30,NA,71,39.5,48.5,NA,NA,NA,1330,988,1064,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,socotraensis,NA,Socotra Buzzard,726.936,3.25,1,1174.5,8.5,NA,NA,NA,NA,73,33,46.5,8.5,NA,NA,1314,1035,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,solitarius,NA,Hawaiian Hawk,1095.7275,1,0.5,505,17,NA,NA,35,NA,62,38,61,17,NA,NA,606,414,NA,43.35,56.3,499.15,41.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,NA,Swainson's Hawk,730,2.5,1,969.57,24.08333333,NA,NA,39.4,NA,61,32.75,43,16,730,NA,1109,811.25,958.5,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,trizonatus,NA,Forest Buzzard,NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteo,ventralis,NA,Rufous-tailed Hawk,NA,2,NA,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,1103,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,aequinoctialis,NA,Rufous Crab Hawk,NA,1,NA,693.25,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,752.5,594.5,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,NA,Common Black Hawk,730,1.5,1,996,13.5,NA,NA,NA,NA,65,38.25,46.5,13.5,730,NA,1199,793,972.5,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,coronatus,NA,Crowned Solitary Eagle,NA,1,NA,2950,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2950,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,gundlachii,NA,Cuban Black Hawk,730,1.5,1,945,13.5,NA,NA,NA,NA,65,38.25,46.5,13.5,730,NA,1199,793,972.5,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,meridionalis,NA,Savanna Hawk,NA,1,NA,808,NA,NA,NA,NA,NA,74.25,NA,NA,NA,NA,NA,893.4,849,808,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,schistaceus,NA,Slate-colored Hawk,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aves,Accipitriformes,Accipitridae,Buteogallus,solitarius,NA,Montane Solitary Eagle,NA,1,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
